gene_id,gene,log2.fold_change.,p_value,q_value,Sig
ENSMUSG00000030917.12,Tmem159,1.24169,0.0029,0.0150613,Up
ENSMUSG00000043843.16,Tmem145,-1.24159,5e-05,0.000496523,Down
ENSMUSG00000093445.7,Lrch4,1.2414,0.0236,0.0805669,Up
ENSMUSG00000059751.7,Rps3a3,1.24105,2e-04,0.0016564,Up
ENSMUSG00000027984.8,Hadh,1.24064,5e-05,0.000496523,Up
ENSMUSG00000020422.13,Tns3,1.24004,5e-05,0.000496523,Up
ENSMUSG00000035439.13,Haus8,1.23889,0.0053,0.0246599,Up
ENSMUSG00000010803.12,Gabra1,-1.23885,5e-05,0.000496523,Down
ENSMUSG00000055044.12,Pdlim1,1.23408,5e-05,0.000496523,Up
ENSMUSG00000036192.15,Rorb,-1.23193,5e-05,0.000496523,Down
ENSMUSG00000023348.11,Trip6,1.23151,0.0124,0.0486869,Up
ENSMUSG00000027243.8,Harbi1,-1.23142,0.0498,0.141928,Down
ENSMUSG00000096544.2,Gm4617,1.23109,7e-04,0.00471333,Up
ENSMUSG00000032092.4,Mpzl2,1.22963,0.00045,0.0032788,Up
ENSMUSG00000002032.16,Tmem25,-1.22962,5e-05,0.000496523,Down
ENSMUSG00000030978.9,Rrm1,1.22497,5e-05,0.000496523,Up
ENSMUSG00000050022.16,Amz1,1.22428,5e-05,0.000496523,Up
ENSMUSG00000024810.16,Il33,1.22418,5e-05,0.000496523,Up
ENSMUSG00000068117.9,Mei1,-1.22198,1e-04,0.00091011,Down
ENSMUSG00000016128.14,Stard13,1.22092,0.00315,0.0161838,Up
ENSMUSG00000017386.10,Traf4,1.21955,5e-04,0.0035596,Up
ENSMUSG00000009614.16,Sardh,1.21949,0.00085,0.00554016,Up
ENSMUSG00000042662.16,Dusp15,-1.21654,0.023,0.0789743,Down
ENSMUSG00000015247.10,Nipsnap3b,1.21643,5e-05,0.000496523,Up
ENSMUSG00000022885.15,St6gal1,1.21606,5e-05,0.000496523,Up
ENSMUSG00000032902.1,Slc16a1,1.21537,5e-05,0.000496523,Up
ENSMUSG00000103358.1,Gm37593,-1.21536,5e-05,0.000496523,Down
ENSMUSG00000028710.16,Atpaf1,-1.21377,5e-05,0.000496523,Down
ENSMUSG00000056612.6,Ppp1r14b,1.21367,5e-05,0.000496523,Up
ENSMUSG00000035783.8,Acta2,1.21279,5e-05,0.000496523,Up
ENSMUSG00000007594.9,Hapln4,-1.21277,5e-05,0.000496523,Down
ENSMUSG00000032698.15,Lmo2,1.21219,0.01695,0.0622619,Up
ENSMUSG00000028073.15,Pear1,1.21033,0.01155,0.0460333,Up
ENSMUSG00000020396.8,Nefh,-1.21021,5e-05,0.000496523,Down
ENSMUSG00000037936.15,Scarb1,1.20963,5e-05,0.000496523,Up
ENSMUSG00000020743.15,Mif4gd,1.2096,0.00125,0.00763084,Up
ENSMUSG00000028990.13,Lzic,1.20874,0.00155,0.00904021,Up
ENSMUSG00000015714.11,Cers2,1.20868,5e-05,0.000496523,Up
ENSMUSG00000021747.11,4930452B06Rik,-1.20798,5e-05,0.000496523,Down
ENSMUSG00000015335.16,Zdhhc12,1.20797,0.0234,0.0800601,Up
ENSMUSG00000023019.12,Gpd1,1.20475,5e-05,0.000496523,Up
ENSMUSG00000061132.13,Blnk,1.20383,0.00025,0.00198959,Up
ENSMUSG00000104882.1,Gm43096,1.19817,0.04295,0.12704,Up
ENSMUSG00000102744.1,5830444F18Rik,-1.19773,0.04285,0.126774,Down
ENSMUSG00000056771.7,Gm10010,-1.19684,0.007,0.0308045,Down
ENSMUSG00000026384.13,Ptpn4,-1.19593,0.002,0.0111567,Down
ENSMUSG00000040616.3,Tmem51,1.1958,5e-05,0.000496523,Up
ENSMUSG00000045903.8,Npas4,-1.19372,5e-05,0.000496523,Down
ENSMUSG00000028961.15,Pgd,1.19364,5e-05,0.000496523,Up
ENSMUSG00000043257.15,Pigv,1.19326,0.0385,0.11674,Up
ENSMUSG00000025026.14,Add3,1.19255,5e-05,0.000496523,Up
ENSMUSG00000003573.15,Homer3,1.19195,0.00035,0.00263998,Up
ENSMUSG00000027520.15,Zdbf2,-1.19186,0.0209,0.073407,Down
ENSMUSG00000046909.9,Tefm,1.1916,0.0085,0.0358559,Up
ENSMUSG00000043964.14,Orai3,1.19158,0.0013,0.00787032,Up
ENSMUSG00000040543.16,Pitpnm3,-1.19025,5e-05,0.000496523,Down
ENSMUSG00000032890.17,Rims3,-1.18975,5e-05,0.000496523,Down
ENSMUSG00000022054.11,Nefm,-1.18833,0.00095,0.00604603,Down
ENSMUSG00000026956.15,Uap1l1,1.18815,5e-05,0.000496523,Up
ENSMUSG00000045404.15,Kcnk13,1.18815,0.00105,0.00657799,Up
ENSMUSG00000045799.5,Gm9800,1.18805,0.03345,0.105443,Up
ENSMUSG00000034584.3,Exph5,-1.18785,0.00115,0.00711831,Down
ENSMUSG00000007833.13,Aldh16a1,1.18781,0.0054,0.0250501,Up
ENSMUSG00000013150.15,Gfod2,1.1878,0.001,0.00630289,Up
ENSMUSG00000017978.18,Cadps2,-1.18738,5e-05,0.000496523,Down
ENSMUSG00000030792.7,Dkkl1,-1.18729,5e-05,0.000496523,Down
ENSMUSG00000042453.14,Reln,-1.18668,0.00175,0.0100093,Down
ENSMUSG00000056069.8,Fam105a,1.18653,5e-05,0.000496523,Up
ENSMUSG00000029910.14,Mad2l1,1.18645,0.0346,0.107972,Up
ENSMUSG00000013076.15,Amotl1,1.18594,5e-05,0.000496523,Up
